library_id,hashtag,sample_id,new_hashtag
LRA001_RNA,HTC1,LN1017,HTC1
LRA001_RNA,HTC2,LN4032,HTC2
LRA001_RNA,HTC3,LN4037,HTC3
LRA001_RNA,HTC4,LN7164,HTC4
LRA002_BLRA5PscRGEX002,HTC8,SF1270,HTC1
LRA002_BLRA5PscRGEX002,HTC7,SF1295,HTC2
LRA002_BLRA5PscRGEX002,HTC6,SF4000,HTC3
LRA002_BLRA5PscRGEX002,HTC5,SF4005,HTC4
LRA002_BLRA5PscRGEX003,HTC4,LTR4001,HTC5
LRA002_BLRA5PscRGEX003,HTC3,LTR4008,HTC6
LRA002_BLRA5PscRGEX003,HTC2,LTR4023,HTC7
LRA002_BLRA5PscRGEX003,HTC1,LTR4028,HTC8
LRA003_BLRA5PscRGEX004,HTC8,NRF4008,HTC8
LRA003_BLRA5PscRGEX004,HTC7,NRF4010,HTC7
LRA003_BLRA5PscRGEX004,HTC6,NRF4012,HTC6
LRA003_BLRA5PscRGEX004,HTC5,NRF4019,HTC5
LRA003_BLRA5PscRGEX005,HTC4,BLB2104,HTC4
LRA003_BLRA5PscRGEX005,HTC3,BLB3293,HTC3
LRA003_BLRA5PscRGEX005,HTC2,BLB0846,HTC2
LRA003_BLRA5PscRGEX005,HTC1,BLB0554,HTC1
LRA004_BLRA5PscRGEX006,,HD2056,HTC4
LRA004_BLRA5PscRGEX006,,HD2624,HTC3
LRA004_BLRA5PscRGEX006,,HD2646,HTC2
LRA004_BLRA5PscRGEX006,,HD3435,HTC1
LRA004_BLRA5PscRGEX007,,SACQ0630,HTC8
LRA004_BLRA5PscRGEX007,,SACQ2124,HTC7
LRA004_BLRA5PscRGEX007,,SACQ4009,HTC6
LRA004_BLRA5PscRGEX007,,SACQ1024,HTC5
LRA005_BLRA5PscRGEX008,HTC8,BSM0629,HTC8
LRA005_BLRA5PscRGEX008,HTC7,BSM3378,HTC7
LRA005_BLRA5PscRGEX008,HTC5,BSM3465,HTC5
LRA005_BLRA5PscRGEX008,HTC6,BSM3491,HTC6
LRA005_BLRA5PscRGEX009,HTC4,WSM3484,HTC4
LRA005_BLRA5PscRGEX009,HTC3,WSM4020,HTC3
LRA005_BLRA5PscRGEX009,HTC2,WSM4026,HTC2
LRA005_BLRA5PscRGEX009,HTC1,WSM7156,HTC1
LRA006_BLRA5PscRGEX010,HTC7,BCIL4022,HTC7
LRA006_BLRA5PscRGEX010,HTC6,BCIL4027,HTC6
LRA006_BLRA5PscRGEX010,HTC8,BCIL3039,HTC8
LRA006_BLRA5PscRGEX010,HTC5,BCIL5049,HTC5
LRA006_BLRA5PscRGEX011,HTC4,WSM3484,HTC4
LRA006_BLRA5PscRGEX011,HTC3,WSM4020,HTC3
LRA006_BLRA5PscRGEX011,HTC2,WSM4026,HTC2
LRA006_BLRA5PscRGEX011,HTC1,WSM7156,HTC1
LRA007_BLRA5PscRGEX012,HTC8,LN1017,HTC8
LRA007_BLRA5PscRGEX012,HTC7,LN4032,HTC7
LRA007_BLRA5PscRGEX012,HTC6,SF1270,HTC6
